generation,reward
10,-95.5665636372032
20,-110.60136337802537
30,-114.81749493490118
40,-114.8179869301172
50,-115.25496924597198
60,-115.28521839997629
70,-116.0814219937495
80,-115.40437061758966
90,-115.73399375115625
100,-104.2774055848538
110,-115.67265930782264
120,-114.14424636611275
130,-115.07897759209247
140,-116.50128300098463
150,-114.81394473203439
160,-115.5969411269585
170,-114.49374490620411
180,-116.5779014977958
190,-115.06413980809762
200,-113.82207696263474
210,-115.05257295068347
220,-115.89572678510599
230,-120.97362585965735
240,-123.45392526130377
250,-123.95625600388064
260,-97.56541917973698
270,-71.77959364805729
280,-102.75720963316692
290,-94.85358912670895
300,-56.0093627925235
310,-77.09969750942392
320,-95.75481644872886
330,-104.31103571571347
340,-105.09353717213025
350,-93.15394495053314
360,-93.43530551671553
370,-88.34222185478528
380,-106.4545959919908
390,-96.23049338075712
400,-111.51749812648734
410,-112.63849579646273
420,-106.91668479537722
430,-88.39752729250714
440,-70.22611915603949
450,-102.97982960975466
460,-54.63200323754366
470,-91.83049766946439
480,-120.18043484146412
490,-125.14453523840757
500,-118.81179651489435
510,-50.73769012964296
520,-105.06736170535103
530,-116.05135039851355
540,-72.06255794210878
550,-16.32490601870679
560,-98.04749827154853
570,-49.71710222619101
580,-85.78737962466694
590,-80.5058215707367
600,-83.53105180871012
610,-87.33542899159151
620,-49.514620520571484
630,-44.44420133588253
640,-10.863309670928533
650,-14.451885004475074
660,-3.8218284488266194
670,-4.348755131728947
680,-6.706852577579721
690,-3.146077457819166
700,-13.762836430655929
710,-10.85824681670243
720,-25.248286620367402
730,-45.89547198281386
740,-26.470301875270724
750,-20.781490154166207
760,-11.101211155244176
770,-4.600582170009899
780,-4.344932516497325
790,-4.622217975165017
800,-3.497118031611836
810,-2.859706340374273
820,-1.177313924756712
830,-0.9482456704035809
840,-2.3561426596677446
850,-6.30078784675839
860,-2.34259445288418
870,-2.7186933501965824
880,-0.9532925051787295
890,-0.059672131321787794
900,-0.22697469022584071
910,-36.12300199833693
920,-62.930109583558384
930,-39.18489997178981
940,-4.801397798624954
950,-2.0246361557927095
960,-2.0324175286238346
970,-21.110260846812047
980,-71.71638098167172
990,-50.80456834828432
1000,-81.54095053099532
1010,-64.45042729469336
1020,-77.4981806994767
1030,-81.17772996042565
1040,-64.71473293003439
1050,-69.59898986497994
1060,-73.25888211666306
1070,-64.01740248437723
1080,-64.71158620796807
1090,-57.980189611019966
1100,-40.67169101210063
1110,-53.02904196724258
1120,-9.802040728497722
1130,-2.1111150778378502
1140,-10.827322175898672
1150,-2.5785786029772937
1160,-6.94460091013219
1170,-45.2140144410474
1180,-12.000166793013339
1190,-2.3733393467534305
1200,-10.61722595056062
1210,-4.175364740189854
1220,-5.31924105176556
1230,-4.635995646633708
1240,-3.718076130995558
1250,-4.29232147380387
1260,-4.558741137410591
1270,-6.492809112829147
1280,-4.3342623654048955
1290,-5.129208116689666
1300,-11.390944074727786
1310,-8.155414372790634
1320,-6.808977984937199
1330,-38.85317014227097
1340,-14.594951932637063
1350,-29.604738639167504
1360,-6.2114050988495615
1370,-39.47575672110852
1380,-27.76526812330013
1390,-40.66605271820607
1400,-8.62995319831565
1410,-9.434426224974597
1420,-2.135507216106552
1430,-31.114181212060448
1440,-55.247412183412834
1450,-44.30256027285837
1460,-61.704374230605495
1470,-69.99502301945589
1480,-28.130755545482764
1490,-29.079091898176795
1500,-67.52366227141658
1510,-76.65984406248195
1520,-68.92361410348016
1530,-73.00586084449182
1540,-45.71484186188885
1550,-49.70317517656706
1560,-56.249162548462415
1570,-75.12282041434987
1580,-68.55183240287566
1590,-71.97906981191927
1600,-81.72277368030387
1610,-59.41660490261503
1620,-59.35153033635174
1630,-56.02073877745697
1640,-69.85768642290813
1650,-46.23971835708374
1660,-33.66192499142439
1670,-53.346219034112096
1680,-65.15097325276676
1690,-63.259719308921454
1700,-61.691201433636095
1710,-58.89289243606273
1720,-50.896104166615665
1730,-47.717600982247696
1740,-66.0794818347682
1750,-59.3044235406029
1760,-51.899903423395244
1770,-71.41650688610649
1780,-63.22665148879328
1790,-68.4586624421123
1800,-42.20685530678621
1810,-56.64805893472824
1820,-46.11797742389619
1830,-55.00099718191726
1840,-47.42937294305587
1850,-57.62504992469176
1860,-52.42939264061183
1870,-46.296076741474074
1880,-83.74387680136482
1890,-44.63844125000624
1900,-59.39608446968193
1910,-64.0219456547147
1920,-82.27987979872294
1930,-56.34556750071586
1940,-72.8444608710166
1950,-69.80033447425976
1960,-85.89948467802598
1970,-68.15909994258259
1980,-31.709853386370686
1990,-46.694656427537616
2000,-81.71586155532563
2010,-69.29810585361119
2020,-68.59072939437482
2030,-76.08387035942295
2040,-88.41302809513864
2050,-55.39599748059726
2060,-54.113772452308844
2070,-40.581644246050566
2080,-54.61844883751528
2090,-49.42691935299828
2100,-36.78069369170983
