run,score
1,-43.946413564739494
2,-78.27328749073467
3,-84.73894418275222
4,-94.3333804390307
5,-13.835268184042219
6,-85.08835978943567
7,-92.12053931470915
8,-50.6006328281704
9,-22.16268988525578
10,-84.74262542824005
11,-42.78676377178665
12,-84.75480106066249
13,-79.1420329891831
14,-42.89455819267127
15,-53.93728932902965
16,-83.75069085739725
17,-83.52114525799966
18,-55.438536069515756
19,-12.066798154326355
20,-51.54816893263
21,-45.58056867147944
22,-78.46762979614346
23,-50.95454180739601
24,-84.96176729225527
25,-85.12168987137606
26,-16.438377211853506
27,-48.55566037827447
28,-16.744802943283716
29,-84.77566332902519
30,-78.71955144357844
31,-16.061520404814146
32,-52.314410027053164
33,-85.02143412506686
34,-95.69089760178538
35,-93.04904317769726
36,-42.88678769593182
37,-37.11652766263589
38,-94.41755854267232
39,-82.1880098235967
40,-95.05303357685956
41,-95.78057383302937
42,-94.44081249326219
43,-88.63070731793925
44,-93.46702765253876
45,-19.090873163411903
46,-85.15625848645466
47,-93.26293556325315
48,-113.9281328193178
49,-37.722717698341164
50,-54.503328232867844
51,-18.722996216744225
52,-95.32050552440366
53,-17.775468964158758
54,-44.283568978825066
55,-66.86852102246752
56,-79.06859118598578
57,-94.90777841479212
58,-105.49798125975617
59,-21.225646170984913
60,-78.55788097959751
61,-84.59774217095583
62,-93.08067075666126
63,-45.991249570754455
64,-20.538570383149164
65,-15.751728179446093
66,-83.7376721110013
67,-66.5975873854281
68,-106.16211705326043
69,-50.14622401373622
70,-45.79986641783827
71,-95.8112535366265
72,-18.63691800636511
73,-17.831765237840624
74,-49.22774360482553
75,-82.09281675344897
76,-117.06099252892618
77,-18.962690144965308
78,-94.48054386351546
79,-32.94601887433741
80,-78.99771275046538
81,-88.85621517767125
82,-16.77829089974863
83,-79.25012612942709
84,-116.40281871452414
85,-41.848996152648596
86,-65.66420751403871
87,-17.30017850688942
88,-45.05649189867761
89,-106.12407500100608
90,-95.82536205354359
91,-106.39834870625255
92,-48.344161063040275
93,-15.263151217165637
94,-17.176698180622417
95,-17.27027448548968
96,-52.68014245020718
