generation,reward
10,-102.24054108150156
20,-107.08591804014756
30,-108.5372524969082
40,-104.43031196592237
50,-104.87806959991444
60,-105.06594292786659
70,-127.57045098395088
80,-112.54803174685489
90,-104.83223041418054
100,-116.20360458006576
110,-117.46518060781648
120,-80.75621356832616
130,-105.96185887682664
140,-100.37104858428464
150,-128.34615201209482
160,-64.6025295307201
170,-98.71705781815567
180,-105.47505434823147
190,-75.75529182753039
200,-29.05844162565656
210,-88.4659749094446
220,-59.74419569104989
230,-97.1330817119015
240,-55.830523585049534
250,-36.91201421975961
260,-72.859369322265
270,-56.569725164174244
280,-47.36818220439435
290,-56.46709269692084
300,-80.13345227186005
310,-63.04634217406141
320,-53.61405199682474
330,-27.883201878256166
340,-54.45516923761562
350,-52.07468381143518
360,-24.304728300571792
370,1.7472474488088792
380,38.07201379360411
390,89.13484077617825
400,77.42300773860174
410,144.71758119848715
420,68.935008135448
430,198.67437088311414
440,210.81622346073996
450,180.50284234227826
460,124.56281558497464
470,174.80239284980178
480,242.14743758513205
490,228.4510499654661
500,268.4707370477516
510,266.05352325855995
520,235.83075444861228
530,255.08244695921476
540,263.1352995250826
550,245.81212542591499
560,197.1868740470634
570,280.69936378395283
580,284.96334064845945
590,261.77097786784486
600,255.02320584346322
610,282.4099405090877
620,286.1307160784294
630,268.621823469373
640,289.1476176585986
650,256.0419484858361
660,293.39287202258487
670,294.70777429816815
680,288.4839789783202
690,228.92313385751044
700,290.0201828966545
710,265.6166232202063
720,289.2358162360084
730,272.5507019094365
740,288.6851393740097
750,289.36282041901427
760,288.14383714500207
770,288.7385953239369
780,264.1962484888695
790,287.93880214942135
800,287.50424297974666
810,253.89382024907326
820,290.2621741453528
830,291.22581286146885
840,292.50956674895326
850,294.34197490646636
860,292.3326833012087
870,292.1011029135724
880,291.51985588897844
890,249.7563592041891
900,266.336608692174
910,221.77998392260625
920,293.21458893763366
930,297.15129717828864
940,298.09836935090965
950,294.7955917449349
960,294.42516150124305
970,227.56035373459113
980,271.15839911625716
990,268.17533185192735
1000,292.159495362066
1010,264.30593359542286
1020,291.6391702698481
1030,240.1221888778679
1040,243.75253325137237
1050,200.12746535832625
1060,271.3092922886666
1070,100.23612631915101
1080,295.2675624542518
1090,295.6274088804256
1100,296.8679400226311
1110,295.0967488412345
1120,291.17110946618294
1130,291.6534633439151
1140,234.61252567633878
1150,264.7540647124288
1160,276.30400431005785
1170,293.6044609153579
1180,293.18362676501977
1190,293.9270680350952
1200,294.6630490216107
1210,296.48937405606097
1220,273.04000217015005
1230,294.3879467793716
1240,268.4169298207768
1250,274.47151854737024
1260,296.23410082388057
1270,199.73612155498526
1280,293.8803043020413
1290,296.91027290596355
1300,223.14574988632336
1310,223.96901173972083
1320,296.1457198238937
1330,296.2613465060064
1340,298.21252380063993
1350,293.6800672369567
1360,292.6228468185369
1370,291.860820604943
1380,275.9033371098359
1390,296.11514499305565
1400,278.8432387134259
1410,298.0595353217277
1420,293.5290137404155
1430,299.0684864749443
1440,300.424745839478
1450,297.0333817826081
1460,299.68241770260573
1470,287.3287029900089
1480,301.975021264874
1490,291.0435924348135
1500,300.87297803261805
1510,280.2819542287315
1520,297.2449598931937
1530,298.34479711728034
1540,296.18536146087433
1550,266.5873798582319
1560,302.08896564666645
1570,255.34204839402045
1580,298.249940346827
1590,276.1371102090189
1600,296.07777093628505
1610,299.79261959560665
1620,243.06525502548988
1630,210.82287221576024
1640,266.50884869913153
1650,302.8345947888645
1660,299.6563433113274
1670,302.25068981594313
1680,295.13168290593615
1690,299.8592464988718
1700,299.09369501227826
1710,302.17973340576725
1720,299.84086488584524
1730,285.7065819819661
1740,299.00384462522703
1750,300.0541133744529
1760,272.86743893189464
1770,302.6182056215011
1780,303.97594399568345
1790,249.0361305410047
1800,301.306953644322
1810,197.02884888914338
1820,303.18539379664713
1830,284.3902394647959
1840,303.6623887966732
1850,275.6946232758775
1860,303.6178999690279
1870,301.7603844893567
1880,302.1616434043754
1890,273.08333210174135
1900,276.10915049318584
1910,247.99196808758603
1920,305.78804695330626
1930,305.23363803369455
1940,302.6811827469295
1950,302.55368212961815
1960,299.12879338751384
1970,298.2940283740255
1980,265.7298447799495
1990,301.9757019688988
2000,301.040574163048
