generation,reward
1,64.16
2,46.82
3,87.12
4,71.46
5,106.88
6,127.72
7,122.58
8,126.74
9,141.72
10,137.3
11,143.48
12,155.6
13,151.26
14,160.5
15,167.06
16,228.48
17,247.32
18,196.26
19,187.12
20,214.22
21,205.82
22,295.2
23,270.7
24,257.98
25,277.1
26,285.1
27,321.84
28,307.76
29,312.8
30,280.1
31,336.12
32,348.36
33,312.18
34,328.58
35,359.76
36,352.92
37,433.06
38,407.92
39,387.56
40,399.54
41,398.96
42,402.96
43,438.46
44,406.0
45,455.82
46,424.18
47,439.88
48,429.64
49,428.9
50,460.66
51,457.62
52,443.44
53,464.02
54,466.3
55,489.82
56,477.1
57,477.44
58,497.18
59,480.62
60,465.46
61,489.68
62,464.86
63,487.98
64,478.84
65,482.66
66,483.88
67,493.1
68,483.46
69,497.12
70,488.62
71,488.78
72,492.36
73,486.04
74,499.12
75,500.0
76,489.26
77,494.48
78,487.46
79,490.82
80,497.1
81,493.1
82,497.9
83,489.72
84,499.72
85,496.32
86,497.96
87,500.0
88,500.0
89,499.72
90,489.42
91,498.5
92,500.0
93,498.38
94,475.68
95,500.0
96,490.54
97,499.94
98,499.44
99,500.0
100,474.86
