generation,reward
10,-171.45966994956143
20,-146.39901816466949
30,-135.34685668969016
40,-112.23924808493378
50,-113.1105783978517
60,-101.90257568540699
70,-94.09911098460802
80,-78.86280590552228
90,-66.61415634872066
100,-53.1000975775311
110,-53.33469311643776
120,-52.513366889305686
130,-54.486363854133394
140,-48.659579653633436
150,-42.05715044975497
160,-39.776218612213896
170,-25.825096988396346
180,-24.007847623861732
190,-33.145134116759394
200,-25.11997201275586
210,-23.847522178236918
220,-12.87377172108424
230,-7.407474571928791
240,0.7697137997427856
250,-6.9120262139388675
260,-9.908702651802294
270,12.833705237216922
280,13.359982601021127
290,17.576605136656102
300,49.280732305489025
310,88.8515817481181
320,99.39119496398519
330,108.77360752788134
340,122.6084948561649
350,124.56553792428299
360,135.3819240459356
370,168.25850397456148
380,162.15232487620972
390,174.94566376885723
400,159.53486255827306
410,159.24939252667838
420,142.36661944482253
430,137.324357658091
440,158.91603048920908
450,180.30835805540627
460,189.98927777478679
470,213.5809996030315
480,211.0290016113054
490,229.82198144446045
500,234.9873416582711
510,234.5506743775037
520,228.6302801040865
530,222.56291360811528
540,231.4462979217158
550,219.6804160730497
560,241.45557326376587
570,223.15460470521225
580,239.77906650452022
590,227.8153392106857
600,238.28708113546662
610,233.46965174879796
620,237.78409465420935
630,235.01636888629236
640,247.48045713758626
650,253.5367018667427
660,249.48350394950054
670,242.95327937322185
680,248.72020066020139
690,257.53256824204107
700,252.34246112799897
710,258.2920174100259
720,266.780345907355
730,269.82621449344265
740,269.5256651018042
750,257.9567371375616
760,264.141578372339
770,240.5854795314126
780,250.00099920765024
790,256.15133998335494
800,271.8368539684632
810,273.5798474454125
820,279.76919483778767
830,283.8412706433188
840,290.8845366270218
850,283.2100081034747
860,284.60467702331624
870,281.19220383887364
880,277.02851931789337
890,298.3337553907853
900,266.9052586751174
910,259.3152482714143
920,279.6774714827893
930,289.6383823595823
940,309.6124836045287
950,312.81454499776544
960,319.07596649959544
970,310.2675246071241
980,308.3612691976328
990,277.41650870846024
1000,271.387731613075
1010,302.7234456720174
1020,309.2844947944452
1030,308.0135953675118
1040,311.88113158209194
1050,312.616000001011
1060,302.3509103312415
1070,283.6182467567128
1080,278.43284831894493
1090,294.8509765337289
1100,306.83636550066296
1110,310.3390467852216
1120,310.23600836584336
1130,309.92191249992334
1140,301.4320490069022
1150,300.2994581317208
1160,288.64962161239805
1170,293.5270795689767
1180,305.41965856060295
1190,300.912004533745
1200,309.72306393875954
1210,308.49819285458534
1220,309.3931528449437
1230,310.2283178219413
1240,312.62747611838074
1250,309.154139976148
1260,302.9272657964572
1270,295.0846361484844
1280,301.3192660116228
1290,296.6025234533695
1300,310.3133676058542
1310,304.5185518847924
1320,308.3665026007296
1330,300.74231684789925
1340,291.21193122479156
1350,302.91173377955965
1360,311.3254639833509
1370,312.22611961551513
1380,307.2934536828059
1390,303.3898579248553
1400,300.78296055204487
1410,304.2266439590187
1420,305.3442899637198
1430,317.41836184372914
1440,309.5839234118762
1450,307.69432379071867
1460,298.11765715979027
1470,304.96091645433523
1480,313.29202406143713
1490,322.87133112889325
1500,306.36295716214426
1510,314.28534164468306
1520,313.4283816602272
1530,317.33414256349783
1540,317.87369416579463
1550,312.36567442809076
1560,297.8428082427209
1570,304.04234638128264
1580,304.93910286558696
1590,296.45716935106896
1600,275.8604035391178
1610,297.4820505645728
1620,296.8654566309194
1630,307.90627850359135
1640,304.84321598296833
1650,305.1315681210124
1660,317.41502232498897
1670,311.5765919979294
1680,313.88855907177555
1690,283.4751906369885
1700,301.3727603866689
1710,300.8452134040152
1720,295.5730465436192
1730,298.34788632223575
1740,312.0913713499184
1750,308.7152912257826
1760,316.2366962255197
1770,316.6680118842304
1780,306.6070773072022
1790,307.0462896537196
1800,311.0425922638192
1810,316.9984716148322
1820,311.3834842324639
1830,311.0871653495882
1840,315.30769541703296
1850,309.6008582358158
1860,311.2183910473837
1870,307.92175506340135
1880,313.24315330156713
1890,308.57534837981996
1900,298.70078631489264
1910,303.8173362061544
1920,287.8087396170601
1930,284.95632441973703
1940,316.48067244852496
1950,311.9503983605683
1960,297.8276841883235
1970,285.6814715294712
1980,267.4924764987305
1990,273.12848237451215
2000,310.5673237605298
