generation,reward
10, -229.3
20, -178.8
30, -145.9
40, -138.7
50, -134.8
60, -131.9
70, -124.1
80, -120.3
90, -122.5
100, -119.4
110, -106.1
120, -100.3
130, -101.3
140, -98.3
150, -96.6
160, -92.8
170, -90.5
180, -86.3
190, -75.0
200, -74.5
210, -73.2
220, -72.3
230, -71.3
240, -69.6
250, -65.1
260, -62.1
270, -57.9
280, -60.5
290, -64.3
300, -60.4
310, -57.6
320, -60.0
330, -58.4
340, -58.8
350, -57.6
360, -57.5
370, -61.7
380, -60.3
390, -64.5
400, -66.0
410, -78.0
420, -80.1
430, -76.7
440, -80.8
450, -86.5
460, -94.2
470, -101.3
480, -108.7
490, -113.4
500, -106.3
510, -98.3
520, -102.1
530, -108.8
540, -111.6
550, -109.1
560, -99.2
570, -101.8
580, -96.0
590, -89.8
600, -95.9
610, -96.9
620, -88.6
630, -86.6
640, -78.6
650, -86.4
660, -102.3
670, -100.8
680, -101.5
690, -108.7
700, -111.2
710, -115.3
720, -119.5
730, -110.2
740, -103.8
750, -95.3
760, -79.3
770, -66.3
780, -51.1
790, -24.9
800, -9.2
810, 8.8
820, 25.5
830, 27.8
840, 28.3
850, 36.3
860, 39.4
870, 37.8
880, 40.5
890, 42.9
900, 33.3
910, 40.2
920, 40.0
930, 46.2
940, 59.8
950, 70.3
960, 88.9
970, 97.4
980, 95.3
990, 95.8
1000, 105.3
1010, 97.5
1020, 95.9
1030, 82.8
1040, 74.2
1050, 63.9
1060, 37.6
1070, 25.7
1080, 11.9
1090, 5.0
1100, -6.9
1110, 1.1
1120, 5.0
1130, 4.3
1140, 13.5
1150, 17.5
1160, 45.9
1170, 59.3
1180, 80.9
1190, 90.5
1200, 113.6
1210, 123.9
1220, 140.5
1230, 162.8
1240, 170.2
1250, 182.1
1260, 173.7
1270, 187.4
1280, 195.5
1290, 194.8
1300, 189.0
1310, 181.3
1320, 181.2
1330, 181.7
1340, 176.5
1350, 183.9
1360, 188.7
1370, 185.1
1380, 182.0
1390, 189.0
1400, 200.8
1410, 206.3
1420, 203.5
1430, 205.0
1440, 204.3
1450, 201.1
1460, 206.5
1470, 212.2
1480, 215.4
1490, 214.4
1500, 211.1
1510, 214.3
1520, 217.3
1530, 221.0
1540, 227.3
1550, 226.9
1560, 225.4
1570, 226.8
1580, 223.6
1590, 224.6
1600, 227.6
1610, 225.1
1620, 225.0
1630, 219.4
1640, 215.7
1650, 215.8
1660, 213.1
1670, 207.7
1680, 208.9
1690, 205.7
1700, 199.2
1710, 201.8
1720, 199.9
1730, 204.0
1740, 207.2
1750, 211.3
1760, 214.8
1770, 218.8
1780, 221.3
1790, 227.2
1800, 233.0
1810, 230.4
1820, 229.4
1830, 230.1
1840, 230.5
1850, 222.9
1860, 223.2
1870, 223.9
1880, 221.2
1890, 211.2
1900, 205.9
1910, 205.8
1920, 207.2
1930, 206.8
1940, 200.8
1950, 203.5
1960, 195.3
1970, 195.4
1980, 196.1
1990, 206.5
2000, 210.5
2010, 211.1
2020, 209.1
2030, 208.9
2040, 216.9
2050, 220.7
2060, 227.2
2070, 221.0
2080, 221.2
2090, 211.7
2100, 207.3
2110, 201.9
2120, 202.3
2130, 200.4
2140, 197.5
2150, 195.9
2160, 193.6
2170, 194.5
2180, 197.0
2190, 205.7
2200, 211.5
2210, 217.1
2220, 217.3
2230, 220.2
2240, 223.1
2250, 225.5
2260, 228.2
2270, 230.9
2280, 226.3
2290, 226.5
2300, 223.1
2310, 221.4
2320, 223.9
2330, 224.1
2340, 218.6
2350, 212.6
2360, 209.6
2370, 209.6
2380, 211.1
2390, 211.1
2400, 212.5
2410, 217.4
2420, 217.1
2430, 214.5
2440, 220.3
2450, 225.7
2460, 231.2
2470, 232.1
2480, 233.1
2490, 225.0
2500, 223.3
2510, 223.4
2520, 223.5
2530, 223.8
2540, 223.7
2550, 215.6
2560, 216.4
2570, 217.6
2580, 203.5
2590, 194.8
2600, 191.3
2610, 176.5
2620, 165.6
2630, 164.6
2640, 156.7
2650, 156.5
2660, 153.8
2670, 123.7
2680, 113.0
2690, 117.4
2700, 115.6
2710, 112.3
2720, 123.5
2730, 108.4
2740, 113.2
2750, 120.7
2760, 119.7
2770, 151.9
2780, 160.4
2790, 170.1
2800, 180.6
2810, 201.1
2820, 202.2
2830, 220.2
2840, 226.5
2850, 224.1
2860, 230.1
2870, 221.6
2880, 236.2
2890, 240.2
2900, 237.7
2910, 236.8
2920, 233.6
2930, 234.1
2940, 228.5
2950, 230.8
2960, 228.4
2970, 234.6
2980, 237.8
2990, 232.5
3000, 235.0
3010, 235.4
3020, 238.2
3030, 239.6
3040, 239.4
3050, 239.6
3060, 236.1
3070, 236.8
3080, 236.3
3090, 239.5
3100, 237.8
3110, 235.9
3120, 234.3
3130, 232.7
3140, 234.5
3150, 234.8
3160, 238.8
3170, 239.4
3180, 238.4
3190, 237.4
3200, 237.1
3210, 237.8
3220, 239.2
3230, 240.1
3240, 242.4
3250, 239.5
3260, 236.8
3270, 236.9
3280, 234.0
3290, 236.3
3300, 237.3
3310, 237.0
3320, 235.2
3330, 234.6
3340, 230.8
