run,score
1,-240.5937268246516
2,-209.76966647748995
3,-348.5579880795503
4,-235.7477602948691
5,-300.8283189239114
6,-234.80186678382324
7,-275.2700943414249
8,-80.52602168526236
9,-65.16616086265454
10,-299.4353823138803
11,-229.63038135269292
12,-212.04348001804175
13,-323.0888134124209
14,-134.9920045330207
15,-279.8433430571589
16,-162.38027330170485
17,-238.19378368768733
18,-210.4199360593172
19,40.07966206501342
20,8.532992680528494
21,-193.25223469688376
22,-270.79657954347954
23,-56.82503217495038
24,-67.76471807526627
25,-257.87944563629003
26,244.87951291841546
27,-25.41189850187932
28,-271.1487107033734
29,-227.8177685033128
30,221.5444875017729
31,-179.0930824317238
32,256.51682892740234
33,-128.40783418674724
34,-278.77430891967583
35,-285.3276505075818
36,-329.2393899588187
37,-170.52690012652437
38,-100.46179831293641
39,-206.36669257892945
40,-295.98240964734987
41,-218.73524441292108
42,-473.4853592326486
43,-211.5247064962415
44,-67.51042833822966
45,-311.82534502846596
46,-268.37983022799534
47,-218.63681802983723
48,232.45326783838746
49,-82.05791582832488
50,-297.0705709663332
51,-243.93591265683344
52,-85.00477900366977
53,-252.96792587256283
54,-297.03492464940905
55,-198.1546765744921
56,-217.42946074770794
57,-278.79958009754904
58,-326.39171282659834
59,-236.53757287381165
60,-85.86270912135569
61,-302.0010533901882
62,-316.7352103918662
63,-307.19957274919807
64,-222.80434443728558
65,-94.08923636243524
66,-301.8699276540159
67,-178.01683125800918
68,-300.45347106835834
69,-262.8906450764897
70,-317.0084003364602
71,-273.3438561551369
72,-206.60495498395898
73,-133.31464117360224
74,-316.33242615967214
75,-312.43615321906015
76,-195.31805824889884
77,-234.5808893508083
78,-167.32460028692793
79,-250.94645984184226
80,-188.49333714935455
81,-191.07476958034425
82,-212.201049262148
83,-497.938226093014
84,-153.35752050690695
85,-221.96247724170246
86,-537.1541347755368
87,-146.50017788092265
88,-258.3536949902831
89,-297.2225434197277
90,-335.10894038676724
91,-81.58071185181934
92,-165.93041726205553
93,-62.697495510308016
94,-89.26558836055692
95,-191.50551236909163
96,-215.38359697440114
97,-189.871952445278
98,-247.67585416293537
99,-268.74311684991255
100,-172.54516781978714
