run,score
1,-113.98834814113073
2,-108.68537901444076
3,-140.91392524553802
4,-110.48581663766888
5,-184.15372268946294
6,-63.001780608264774
7,-82.01258092374681
8,-86.93820525892411
9,-234.66732737137596
10,-216.63712460205002
11,-333.6715522608398
12,-28.566658830300938
13,-162.67027516930187
14,-78.74604666271026
15,-150.49371480328168
16,-89.06801554177324
17,-57.711909485705434
18,-175.84949894940698
19,315.8693631644712
20,-203.5813688734873
21,-99.91977799812278
22,-24.39981863396561
23,-115.07556499813604
24,-148.98896686518412
25,-124.25681394362108
26,-234.70252349281424
27,-71.6178175123039
28,-154.10016876578598
29,-148.09684371157243
30,-148.0819174671283
31,-95.19971468956234
32,-100.14354842955127
33,-99.32209987368554
34,24.975368768048867
35,-139.747807320677
36,-196.18798935992587
37,-220.07434006366577
38,-204.35177255352906
39,-114.28679376269807
40,-101.23072956273171
41,-119.50271507248455
42,-150.64502686484022
43,-204.05491559090535
44,23.45892494212957
45,-81.87149011429318
46,-165.6476041661006
47,-78.80761726501046
48,-188.45765159869984
49,-82.26930710691316
50,-142.45429237678675
51,-177.59889194234307
52,-118.63309555235475
53,-178.90279627494786
54,-156.56010286733263
55,27.345407783844607
56,-65.42103766106929
57,19.283682890694408
58,-183.40261646016785
59,19.524828840724894
60,-213.67330663003105
61,-42.818130241811886
62,-218.59995476588728
63,-105.9193286769152
64,-198.89796552580378
65,-96.72026053174675
66,-116.23283371714413
67,-58.530840273122344
68,-186.89538233470822
69,-139.08761674990888
70,-147.92465765184085
71,-98.65095525145126
72,-83.01630529051957
73,-231.1793626477535
74,-60.664704604594164
75,-203.7866838479105
76,-119.65389166315978
77,-127.04020220384139
78,-50.93583784360345
79,37.05624599238743
80,-138.5824753738626
81,-116.28242224023828
82,-59.273985199500586
83,-194.82829305824362
84,-244.32991531614417
85,-28.63784345127526
86,-95.26168159143324
87,1.6951787735556962
88,-60.26420649471456
89,-105.88041212177254
90,-170.09043683012936
91,-146.731391021287
92,-192.48432168226356
93,-99.53357088061627
94,-123.94167537350613
95,-145.03758776755626
96,-151.95576971571575
97,-107.13888844994663
98,-93.36124178134091
99,-128.1187625268065
100,-179.39172446859084
101,-129.13175774024407
102,-149.21869450267943
103,-167.30501011323693
104,-153.09285864221243
105,-65.49698589182728
106,-184.85199776894692
107,-110.11468858464521
108,-80.88022797173845
109,-154.87210720773214
110,-10.09113145432896
111,-111.52226642174026
112,-91.19132874892449
113,-65.68671806437533
114,-59.678985625546446
115,-103.87001637131644
116,-157.5108384231536
117,-316.00485371663865
118,-197.42090727451873
119,-118.00275039206323
120,-91.24134693457725
121,-248.208723387168
122,-196.75151054765104
123,-147.3539308491795
124,-110.92837795936995
125,-133.62183349460545
126,-102.63637456749223
127,-122.04542133714118
128,-122.57231426593086
129,-160.48352558773254
130,-184.99371306535642
131,-76.87080716032307
132,-135.22268425997754
133,-171.5066531054784
134,-91.67549270713522
135,-136.29189891756062
136,-50.39100923949535
137,-237.2510349763899
138,-110.95393717039568
139,-244.30657237771885
140,-168.01956436003977
141,-41.54601271623322
142,-138.3579010693448
143,-124.68730846810624
144,-144.83712656057295
145,-132.9107880152598
146,-34.74188125401989
147,-115.98936892441685
148,-44.93304259774217
149,-91.16705620984344
150,-145.35687245028308
151,-45.159163429622595
152,-148.77665923180518
153,-165.34128671974804
154,-85.0213596584175
155,-220.6065350761784
156,35.65949254484596
157,318.07742612037106
158,-169.22941431215003
159,-149.37275814531324
160,-54.189003766388346
161,-111.85596634823767
162,6.4227899154566614
163,-59.37849105754083
164,-114.58152504619929
165,-194.4378325000892
166,-232.12278783794233
167,-123.63632778199683
168,-314.62962392838796
169,-76.2477591429199
170,-100.95091069739176
171,-68.07926835097643
172,-164.52282239631108
173,37.2493467274621
174,-195.7017927875043
175,-233.87675183101248
176,-77.05421869939221
177,-325.7214334532481
178,-180.63838598670944
179,-93.64555564930288
180,-164.3888362213235
181,-183.2558338841711
182,-204.8313884105942
183,-96.15625343898347
184,-134.99241796005683
185,-114.66997859520959
186,-178.61764067203762
187,-143.8196572241804
188,-122.71955254374518
189,-44.74994558127098
190,-152.24944674803243
191,-122.37386005103579
192,-120.65323480303417
193,-113.68601023234811
194,-61.31627706621386
195,-169.53748783094437
196,-79.90172385972951
197,-132.53439037515227
198,-131.34299637801013
199,-241.8431811364852
200,-60.97402153474809
201,-99.445297563296
202,-101.91310242775158
203,-317.91627885800295
204,-122.74905364673332
205,-120.15332872656
206,-146.8485364588142
207,-149.1331343839576
208,32.71414660711565
209,-238.71802199649517
210,-81.4835730639257
211,-38.54754665379825
212,-208.76176227938404
213,-43.50859742485258
214,-188.9318595646585
215,-161.64387782633165
216,-191.99369036379238
217,-112.26449527799632
218,-229.87978107786392
219,-105.34971829227783
220,-85.59102378308879
221,-122.55992072966325
222,-55.69867849262364
223,-235.5658680717822
224,-88.91335740678667
225,-141.61238106299942
226,-48.351849820459734
227,-200.01543033749002
228,-26.351167948090477
229,-154.37411632332464
230,-154.12773503474864
231,-53.47265442649228
232,-3.339192157635239
233,-198.83437226949025
234,-86.22855506391859
235,-83.13809209149288
236,-240.51206864252077
237,-180.97884396681894
238,-133.77006461070414
239,-113.22260636935063
240,-99.11555935408335
241,-253.2094470225443
242,-71.35961658922419
243,-162.50807444893996
244,-146.13841231531146
245,-41.74846525230292
246,-41.36414608828326
247,-119.61733011165785
248,-113.76123350685604
249,-126.79469347980746
250,-237.98333068972224
251,-80.26116827056842
252,-145.11257434810403
253,-194.2861390052676
254,-96.83187563663444
255,-72.15283522603684
256,-127.76450036607875
257,-127.1880626062593
258,-157.5514476140579
259,-81.2216824937353
260,-114.49766447658666
261,-156.5997699506271
262,301.26737304615284
263,-25.134303053272617
264,320.90527102907254
265,-51.158486952526985
266,-144.52168761472052
267,-195.81964947486532
268,-172.49889876916347
269,-130.66539967222167
270,-29.39622950979488
271,-128.88091838164527
272,-44.24363522443278
273,55.552669774363636
274,-36.51593222102311
275,-149.8889545618917
276,-125.54412851330133
277,51.921747515874216
278,-283.4528608087699
279,-51.47572915451943
280,-103.01030855393982
281,-300.51792344736384
282,-134.37855396398425
283,-161.6316626988603
284,-40.9687420888174
285,32.03095226683993
286,-148.34850518697772
287,-164.4029448523417
288,-101.59704486554084
289,-184.5050138013205
290,-139.6551574012462
291,-195.12730636332677
292,-40.42719715883416
293,-175.54228259775576
294,-182.41981110698308
295,-91.49248378822125
296,-302.9855932626921
297,-87.49931473008677
298,-91.69235087813524
299,-115.9925875138818
300,-67.34440237429784
301,-180.42482941472778
302,-38.94136855685315
303,-54.24735007492773
304,-99.05411145662981
305,18.117339335905655
306,-156.0429575914107
307,-45.08940404783576
308,-151.3502328022608
309,-55.538618568238974
310,-53.76099020881644
311,-53.38102344305588
312,-50.01682056770666
313,-178.2580987805119
314,-138.20044584760484
315,-105.37263524272268
316,-134.03814106299478
317,-158.0860044278632
318,-233.7661925424434
319,-128.2584198403094
320,26.920835223147776
321,-115.5536903892299
322,-209.72726264313724
323,-188.41836924303175
324,-150.18322565905893
325,-45.62919301671914
326,-192.63254976434592
327,-108.8263526912808
328,-71.9098832324593
329,-184.3553671828286
330,-175.23511994472176
331,-203.3839195165044
332,-115.33846936344955
333,-161.32669506441476
334,-80.22572698932075
335,14.56759697625293
336,-147.82945116010958
337,-43.876418192970874
338,-145.8643999137165
339,-10.873224974563684
340,-162.76972446823424
341,-103.92737501498459
342,-97.4227318548062
343,-66.89737187285566
344,-92.54935117172253
345,-205.8608594983193
346,-165.56771832560864
347,-129.96678684003803
348,-116.93234544369082
349,-45.605821175492025
350,-105.5056694320736
351,-147.70735387570815
352,-112.21417827871215
353,-145.0022168444726
354,-111.98978278892463
355,-199.51906777995268
356,-104.08670523351705
357,-116.8637169011476
358,-162.5356627571893
359,-150.6219837490969
360,-64.63967665233783
