generation,reward
10, -243.1
20, -300.8
30, -292.3
40, -274.8
50, -264.3
60, -257.1
70, -243.5
80, -239.4
90, -241.5
100, -244.0
110, -237.0
120, -224.1
130, -213.2
140, -203.5
150, -199.2
160, -192.1
170, -194.9
180, -195.0
190, -189.0
200, -178.1
210, -176.4
220, -176.4
230, -174.2
240, -179.6
250, -176.9
260, -180.0
270, -176.4
280, -170.2
290, -163.0
300, -160.2
310, -155.1
320, -147.5
330, -147.5
340, -148.4
350, -155.6
360, -151.7
370, -150.2
380, -147.9
390, -143.1
400, -146.8
410, -151.4
420, -151.5
430, -155.4
440, -153.4
450, -143.9
460, -150.1
470, -144.8
480, -140.7
490, -142.8
500, -134.4
510, -134.8
520, -139.0
530, -129.9
540, -122.7
550, -124.3
560, -118.9
570, -121.9
580, -124.1
590, -117.0
600, -119.3
610, -115.3
620, -110.5
630, -110.3
640, -108.7
650, -106.7
660, -101.3
670, -103.7
680, -101.8
690, -113.7
700, -121.8
710, -122.6
720, -117.5
730, -124.9
740, -129.1
750, -126.2
760, -122.6
770, -115.8
780, -113.5
790, -109.0
800, -105.1
810, -102.8
820, -100.6
830, -96.2
840, -95.3
850, -95.6
860, -98.9
870, -105.3
880, -108.7
890, -118.6
900, -114.0
910, -109.5
920, -113.4
930, -106.3
940, -107.5
950, -116.9
960, -118.4
970, -116.0
980, -111.9
990, -99.1
1000, -100.3
1010, -100.5
1020, -95.1
1030, -101.2
1040, -101.8
1050, -91.5
1060, -95.0
1070, -96.4
1080, -101.1
1090, -101.6
1100, -97.9
1110, -101.3
1120, -106.9
1130, -100.8
1140, -101.9
1150, -102.0
1160, -102.9
1170, -106.0
1180, -107.4
1190, -109.4
1200, -112.1
1210, -110.4
1220, -108.2
1230, -121.0
1240, -111.3
1250, -107.8
1260, -104.6
1270, -107.6
1280, -100.6
1290, -93.6
1300, -89.6
1310, -89.9
1320, -98.2
1330, -96.2
1340, -103.1
1350, -111.3
1360, -112.1
1370, -98.9
1380, -105.7
1390, -113.7
1400, -113.3
1410, -113.3
1420, -102.5
1430, -92.3
1440, -86.0
1450, -84.4
1460, -71.6
1470, -70.1
1480, -67.9
1490, -59.6
1500, -60.8
1510, -63.2
1520, -58.4
1530, -60.0
1540, -58.0
1550, -51.8
1560, -59.2
1570, -66.9
1580, -65.6
1590, -74.5
1600, -71.0
1610, -62.7
1620, -66.3
1630, -69.8
1640, -64.9
1650, -59.2
1660, -63.0
1670, -55.4
1680, -52.7
1690, -49.3
1700, -61.6
1710, -72.1
1720, -77.6
1730, -77.6
1740, -87.1
1750, -88.6
1760, -71.9
1770, -81.0
1780, -85.6
1790, -81.7
1800, -70.2
1810, -63.4
1820, -61.6
1830, -56.8
1840, -59.2
1850, -65.0
1860, -73.8
1870, -73.4
1880, -61.6
1890, -64.7
1900, -69.9
1910, -68.4
1920, -63.4
1930, -60.2
1940, -53.6
1950, -48.2
1960, -52.1
1970, -50.7
1980, -62.3
1990, -68.5
2000, -63.4
2010, -60.2
2020, -62.7
2030, -68.4
2040, -68.5
2050, -68.1
2060, -64.1
2070, -57.9
2080, -56.0
2090, -49.2
2100, -52.4
2110, -61.2
2120, -62.6
2130, -60.8
2140, -66.0
2150, -61.8
2160, -61.5
2170, -57.1
2180, -49.7
2190, -43.2
2200, -33.3
2210, -33.4
2220, -24.5
2230, -28.9
2240, -26.6
2250, -24.9
2260, -36.4
2270, -34.8
2280, -40.9
2290, -50.5
2300, -56.0
2310, -61.6
2320, -72.5
2330, -66.2
2340, -65.4
2350, -77.5
2360, -62.4
2370, -59.3
2380, -59.1
2390, -50.6
2400, -50.1
2410, -38.6
2420, -35.3
2430, -34.3
2440, -37.1
2450, -31.9
2460, -32.3
2470, -32.1
2480, -30.7
2490, -24.5
2500, -18.9
2510, -27.3
2520, -14.3
2530, -11.0
2540, -6.8
2550, -15.1
2560, -19.9
2570, -29.8
2580, -31.0
2590, -39.8
2600, -43.1
2610, -30.3
2620, -41.7
2630, -38.0
2640, -32.9
2650, -24.3
2660, -18.6
2670, -11.6
2680, -11.6
2690, -10.0
2700, -8.8
2710, -17.4
2720, -14.4
2730, -24.0
2740, -26.3
2750, -24.7
2760, -22.2
2770, -27.4
2780, -17.8
2790, -5.3
2800, -14.1
2810, -6.3
2820, 0.2
2830, 2.1
2840, -0.1
2850, 4.9
2860, -1.1
2870, -0.6
2880, -1.4
2890, -12.3
2900, -4.0
2910, -11.6
2920, -18.8
2930, -16.7
2940, -13.0
2950, -19.5
2960, -11.5
2970, -8.5
2980, -11.0
2990, -10.0
3000, -12.3
3010, -9.4
3020, -8.5
3030, -12.3
3040, -15.9
3050, -7.4
3060, -16.4
3070, -20.4
3080, -27.7
3090, -24.3
3100, -19.6
3110, -20.1
3120, -33.2
3130, -26.4
3140, -22.4
3150, -36.8
3160, -38.4
3170, -34.5
3180, -26.4
3190, -28.2
3200, -29.6
3210, -21.5
3220, -11.2
3230, -4.6
3240, -8.6
3250, 1.2
3260, 6.0
3270, 5.4
3280, 1.8
3290, -6.8
3300, -4.0
3310, -7.6
3320, -12.6
3330, -26.3
3340, -20.6
3350, -24.0
3360, -27.6
3370, -31.6
3380, -27.5
3390, -19.9
3400, -22.5
3410, -31.5
3420, -25.9
3430, -18.0
3440, -15.7
3450, -17.2
3460, -17.4
3470, -13.5
3480, -21.3
3490, -19.0
3500, -17.4
3510, -11.1
3520, -14.6
3530, -19.4
3540, -27.5
3550, -31.7
3560, -22.5
3570, -25.1
3580, -19.6
3590, -29.3
3600, -37.8
3610, -38.3
3620, -37.1
3630, -43.6
3640, -38.5
3650, -37.0
3660, -53.1
3670, -57.7
3680, -61.6
3690, -66.6
3700, -65.7
3710, -57.8
3720, -47.0
3730, -38.7
3740, -44.1
3750, -40.3
3760, -33.9
3770, -24.9
3780, -15.3
3790, -7.4
3800, -14.1
3810, -13.1
3820, -18.7
3830, -22.6
3840, -28.3
3850, -28.7
3860, -34.9
3870, -37.3
3880, -40.5
3890, -33.4
3900, -23.6
3910, -28.9
3920, -34.7
3930, -36.8
3940, -26.3
3950, -33.4
3960, -24.5
3970, -29.2
3980, -22.8
3990, -30.0
4000, -35.0
4010, -39.6
4020, -40.0
4030, -33.8
4040, -39.0
4050, -22.5
4060, -22.9
4070, -19.4
4080, -31.8
4090, -33.5
4100, -36.5
4110, -36.0
4120, -26.4
4130, -34.2
4140, -34.2
4150, -52.8
4160, -53.9
4170, -57.4
4180, -66.6
4190, -62.6
4200, -48.9
4210, -50.2
4220, -58.0
4230, -49.9
4240, -48.3
4250, -38.8
4260, -36.8
4270, -41.1
4280, -27.8
4290, -31.4
4300, -44.6
4310, -44.8
4320, -49.7
4330, -57.4
4340, -59.7
4350, -62.6
4360, -70.1
4370, -64.4
4380, -61.9
4390, -61.5
4400, -63.6
4410, -63.8
4420, -53.9
4430, -45.8
4440, -45.2
4450, -47.6
4460, -44.0
4470, -44.0
4480, -55.8
4490, -54.9
4500, -52.0
4510, -55.5
4520, -69.4
