generation,reward
10, -209.5
20, -210.0
30, -194.5
40, -193.6
50, -202.4
60, -208.5
70, -201.0
80, -195.7
90, -199.4
100, -193.3
110, -182.6
120, -175.1
130, -172.3
140, -166.9
150, -160.7
160, -148.7
170, -146.0
180, -142.4
190, -135.0
200, -131.5
210, -132.7
220, -133.7
230, -130.7
240, -130.2
250, -128.5
260, -129.7
270, -133.3
280, -134.0
290, -125.9
300, -125.5
310, -125.8
320, -124.9
330, -126.9
340, -122.8
350, -119.4
360, -116.0
370, -110.1
380, -104.7
390, -105.1
400, -102.7
410, -99.8
420, -98.4
430, -97.1
440, -100.5
450, -99.9
460, -101.5
470, -100.7
480, -97.3
490, -99.3
500, -102.6
510, -104.2
520, -101.8
530, -104.4
540, -101.5
550, -105.0
560, -109.2
570, -106.6
580, -115.3
590, -116.1
600, -123.8
610, -122.2
620, -127.2
630, -123.3
640, -124.0
650, -120.2
660, -110.6
670, -108.8
680, -106.5
690, -105.3
700, -100.0
710, -103.0
720, -99.2
730, -98.7
740, -99.1
750, -94.6
760, -102.8
770, -109.4
780, -111.2
790, -106.6
800, -107.9
810, -106.5
820, -106.7
830, -109.7
840, -102.7
850, -102.7
860, -98.1
870, -89.6
880, -82.1
890, -80.7
900, -65.0
910, -63.7
920, -63.2
930, -58.9
940, -63.7
950, -66.3
960, -60.6
970, -64.6
980, -67.1
990, -76.2
1000, -86.8
1010, -90.2
1020, -93.8
1030, -96.8
1040, -99.1
1050, -96.4
1060, -100.4
1070, -103.5
1080, -112.1
1090, -116.5
1100, -120.7
1110, -121.0
1120, -118.7
1130, -120.1
1140, -120.9
1150, -120.4
1160, -130.0
1170, -130.9
1180, -128.7
1190, -122.1
1200, -112.8
1210, -111.7
1220, -114.9
1230, -112.3
1240, -111.7
1250, -110.7
1260, -101.4
1270, -96.8
1280, -89.1
1290, -84.4
1300, -89.2
1310, -88.7
1320, -83.8
1330, -86.8
1340, -84.6
1350, -89.9
1360, -93.9
1370, -98.9
1380, -96.5
1390, -100.5
1400, -97.8
1410, -91.4
1420, -89.3
1430, -82.6
1440, -84.1
1450, -85.3
1460, -82.1
1470, -79.4
1480, -81.8
1490, -82.8
1500, -82.3
1510, -87.2
1520, -84.6
1530, -89.3
1540, -91.1
1550, -87.2
1560, -85.1
1570, -84.4
1580, -93.3
1590, -91.9
1600, -99.0
1610, -95.4
1620, -100.5
1630, -97.8
1640, -92.7
1650, -98.3
1660, -101.0
1670, -97.8
1680, -91.2
1690, -84.7
1700, -84.3
1710, -86.9
1720, -86.9
1730, -88.0
1740, -88.8
1750, -85.1
1760, -86.8
1770, -95.3
1780, -90.0
1790, -91.2
1800, -87.1
1810, -85.1
1820, -80.8
1830, -77.5
1840, -79.4
1850, -71.5
1860, -66.4
1870, -58.1
1880, -64.5
1890, -60.5
1900, -58.2
1910, -58.4
1920, -58.0
1930, -54.7
1940, -61.6
1950, -67.4
1960, -74.8
1970, -80.2
1980, -80.4
1990, -82.5
2000, -89.2
2010, -86.9
2020, -82.4
2030, -89.7
2040, -83.1
2050, -90.1
2060, -88.1
2070, -85.0
2080, -87.2
2090, -103.3
2100, -107.0
2110, -112.4
2120, -123.5
2130, -121.5
2140, -120.2
2150, -109.6
2160, -100.7
2170, -103.2
2180, -94.1
2190, -84.1
2200, -69.1
2210, -64.9
2220, -57.2
2230, -52.5
2240, -59.5
2250, -63.8
2260, -75.2
2270, -70.7
2280, -73.2
2290, -69.6
2300, -71.0
2310, -67.1
2320, -68.1
2330, -78.3
2340, -71.5
2350, -63.1
2360, -56.6
2370, -54.8
2380, -57.8
2390, -60.8
2400, -60.5
2410, -62.4
2420, -62.3
2430, -63.1
2440, -65.2
2450, -67.6
2460, -57.3
2470, -57.5
2480, -52.6
2490, -55.1
2500, -59.2
2510, -64.9
2520, -57.1
2530, -53.3
2540, -43.3
2550, -42.2
2560, -53.2
2570, -60.0
2580, -62.8
2590, -62.7
2600, -65.6
2610, -60.4
2620, -70.3
2630, -65.1
2640, -63.8
2650, -73.7
2660, -75.8
2670, -69.1
2680, -67.8
2690, -67.0
2700, -66.7
2710, -75.8
2720, -77.3
2730, -78.1
2740, -90.5
2750, -85.8
2760, -77.9
2770, -80.9
2780, -88.4
2790, -85.0
2800, -78.8
2810, -70.3
2820, -69.8
2830, -75.0
2840, -70.8
2850, -71.1
2860, -75.9
2870, -72.6
2880, -68.9
2890, -72.3
2900, -82.5
2910, -88.5
2920, -88.4
2930, -81.4
2940, -82.1
2950, -84.1
2960, -84.2
2970, -87.6
2980, -83.8
2990, -76.1
3000, -67.7
3010, -68.9
3020, -70.2
3030, -80.0
3040, -80.5
3050, -82.8
3060, -78.3
